sketch_id,sketch_name,season,episode,category,category2,total_sentences,num_unique_emotions,emotion_sequence,emotion_string,emotion_counts
11,The Man,0,0,revenge,,88,15,admiration|optimism|neutral|curiosity|neutral|joy|neutral|curiosity|neutral|neutral|neutral|approval|neutral|neutral|neutral|neutral|curiosity|admiration|neutral|neutral|neutral|neutral|approval|neutral|approval|curiosity|surprise|disapproval|neutral|neutral|neutral|admiration|admiration|neutral|neutral|neutral|remorse|curiosity|neutral|approval|neutral|neutral|neutral|neutral|neutral|joy|sadness|neutral|neutral|neutral|neutral|neutral|neutral|sadness|joy|amusement|desire|neutral|neutral|neutral|disapproval|neutral|curiosity|surprise|neutral|neutral|neutral|neutral|neutral|neutral|sadness|neutral|neutral|surprise|neutral|neutral|neutral|neutral|confusion|neutral|neutral|neutral|disgust|neutral|admiration|annoyance|neutral|neutral,admiration -> optimism -> neutral -> curiosity -> neutral -> joy -> neutral -> curiosity -> neutral -> neutral -> neutral -> approval -> neutral -> neutral -> neutral -> neutral -> curiosity -> admiration -> neutral -> neutral -> neutral -> neutral -> approval -> neutral -> approval -> curiosity -> surprise -> disapproval -> neutral -> neutral -> neutral -> admiration -> admiration -> neutral -> neutral -> neutral -> remorse -> curiosity -> neutral -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> joy -> sadness -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> sadness -> joy -> amusement -> desire -> neutral -> neutral -> neutral -> disapproval -> neutral -> curiosity -> surprise -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> sadness -> neutral -> neutral -> surprise -> neutral -> neutral -> neutral -> neutral -> confusion -> neutral -> neutral -> neutral -> disgust -> neutral -> admiration -> annoyance -> neutral -> neutral,"{'neutral': 55, 'curiosity': 6, 'admiration': 5, 'approval': 4, 'joy': 3, 'surprise': 3, 'sadness': 3, 'disapproval': 2, 'optimism': 1, 'remorse': 1, 'amusement': 1, 'desire': 1, 'confusion': 1, 'disgust': 1, 'annoyance': 1}"
12,Which Hand,0,0,magic show,,86,18,gratitude|neutral|approval|gratitude|neutral|curiosity|neutral|admiration|neutral|neutral|curiosity|neutral|curiosity|neutral|disapproval|neutral|approval|neutral|curiosity|approval|neutral|disapproval|neutral|approval|neutral|neutral|neutral|anger|neutral|optimism|neutral|neutral|neutral|gratitude|neutral|neutral|neutral|joy|neutral|neutral|admiration|neutral|neutral|admiration|joy|gratitude|love|anger|neutral|anger|curiosity|neutral|embarrassment|neutral|neutral|amusement|amusement|amusement|annoyance|neutral|disapproval|annoyance|surprise|excitement|neutral|neutral|confusion|confusion|joy|neutral|gratitude|desire|neutral|neutral|optimism|neutral|approval|neutral|neutral|fear|neutral|approval|approval|neutral|neutral|anger,gratitude -> neutral -> approval -> gratitude -> neutral -> curiosity -> neutral -> admiration -> neutral -> neutral -> curiosity -> neutral -> curiosity -> neutral -> disapproval -> neutral -> approval -> neutral -> curiosity -> approval -> neutral -> disapproval -> neutral -> approval -> neutral -> neutral -> neutral -> anger -> neutral -> optimism -> neutral -> neutral -> neutral -> gratitude -> neutral -> neutral -> neutral -> joy -> neutral -> neutral -> admiration -> neutral -> neutral -> admiration -> joy -> gratitude -> love -> anger -> neutral -> anger -> curiosity -> neutral -> embarrassment -> neutral -> neutral -> amusement -> amusement -> amusement -> annoyance -> neutral -> disapproval -> annoyance -> surprise -> excitement -> neutral -> neutral -> confusion -> confusion -> joy -> neutral -> gratitude -> desire -> neutral -> neutral -> optimism -> neutral -> approval -> neutral -> neutral -> fear -> neutral -> approval -> approval -> neutral -> neutral -> anger,"{'neutral': 41, 'approval': 7, 'gratitude': 5, 'curiosity': 5, 'anger': 4, 'admiration': 3, 'disapproval': 3, 'joy': 3, 'amusement': 3, 'optimism': 2, 'confusion': 2, 'annoyance': 2, 'love': 1, 'embarrassment': 1, 'surprise': 1, 'excitement': 1, 'desire': 1, 'fear': 1}"
13,Focus Group,0,0,office,,81,12,gratitude|neutral|neutral|neutral|neutral|neutral|admiration|neutral|admiration|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|admiration|admiration|approval|admiration|approval|curiosity|neutral|admiration|neutral|neutral|neutral|remorse|neutral|neutral|neutral|confusion|admiration|approval|neutral|admiration|neutral|curiosity|disgust|neutral|curiosity|remorse|remorse|annoyance|approval|curiosity|neutral|disapproval|anger|love|approval|neutral|neutral|neutral|neutral|neutral|neutral|disapproval|anger|admiration|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|annoyance|approval|neutral|curiosity|neutral|neutral|neutral,gratitude -> neutral -> neutral -> neutral -> neutral -> neutral -> admiration -> neutral -> admiration -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> admiration -> admiration -> approval -> admiration -> approval -> curiosity -> neutral -> admiration -> neutral -> neutral -> neutral -> remorse -> neutral -> neutral -> neutral -> confusion -> admiration -> approval -> neutral -> admiration -> neutral -> curiosity -> disgust -> neutral -> curiosity -> remorse -> remorse -> annoyance -> approval -> curiosity -> neutral -> disapproval -> anger -> love -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> disapproval -> anger -> admiration -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> annoyance -> approval -> neutral -> curiosity -> neutral -> neutral -> neutral,"{'neutral': 48, 'admiration': 9, 'approval': 6, 'curiosity': 5, 'remorse': 3, 'anger': 2, 'disapproval': 2, 'annoyance': 2, 'gratitude': 1, 'confusion': 1, 'disgust': 1, 'love': 1}"
14,Laser Spine Specialists,0,0,commercial,,58,15,sadness|neutral|surprise|gratitude|joy|neutral|neutral|neutral|neutral|neutral|anger|neutral|anger|neutral|neutral|annoyance|neutral|neutral|neutral|neutral|neutral|annoyance|disapproval|neutral|neutral|neutral|joy|sadness|love|admiration|neutral|neutral|neutral|neutral|anger|curiosity|neutral|annoyance|neutral|admiration|neutral|excitement|confusion|neutral|disappointment|curiosity|confusion|neutral|neutral|neutral|neutral|neutral|neutral|neutral|desire|neutral|desire|joy,sadness -> neutral -> surprise -> gratitude -> joy -> neutral -> neutral -> neutral -> neutral -> neutral -> anger -> neutral -> anger -> neutral -> neutral -> annoyance -> neutral -> neutral -> neutral -> neutral -> neutral -> annoyance -> disapproval -> neutral -> neutral -> neutral -> joy -> sadness -> love -> admiration -> neutral -> neutral -> neutral -> neutral -> anger -> curiosity -> neutral -> annoyance -> neutral -> admiration -> neutral -> excitement -> confusion -> neutral -> disappointment -> curiosity -> confusion -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> desire -> neutral -> desire -> joy,"{'neutral': 33, 'anger': 3, 'joy': 3, 'annoyance': 3, 'sadness': 2, 'admiration': 2, 'curiosity': 2, 'desire': 2, 'confusion': 2, 'gratitude': 1, 'surprise': 1, 'disapproval': 1, 'love': 1, 'excitement': 1, 'disappointment': 1}"
15,New Joe,0,0,funeral,,25,7,curiosity|neutral|sadness|admiration|admiration|joy|admiration|neutral|neutral|sadness|neutral|neutral|sadness|gratitude|gratitude|neutral|neutral|disapproval|sadness|neutral|neutral|neutral|neutral|neutral|neutral,curiosity -> neutral -> sadness -> admiration -> admiration -> joy -> admiration -> neutral -> neutral -> sadness -> neutral -> neutral -> sadness -> gratitude -> gratitude -> neutral -> neutral -> disapproval -> sadness -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral,"{'neutral': 13, 'sadness': 4, 'admiration': 3, 'gratitude': 2, 'curiosity': 1, 'joy': 1, 'disapproval': 1}"
16,Game Night,0,0,party,,158,16,admiration|neutral|admiration|neutral|neutral|neutral|gratitude|neutral|curiosity|approval|neutral|neutral|neutral|approval|approval|neutral|approval|neutral|neutral|neutral|neutral|neutral|neutral|approval|admiration|neutral|approval|neutral|approval|neutral|neutral|anger|admiration|curiosity|neutral|neutral|neutral|neutral|approval|admiration|neutral|neutral|neutral|neutral|confusion|neutral|confusion|confusion|curiosity|approval|approval|neutral|neutral|curiosity|neutral|neutral|neutral|neutral|neutral|neutral|neutral|annoyance|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|admiration|curiosity|neutral|admiration|neutral|approval|approval|gratitude|neutral|approval|neutral|neutral|approval|approval|neutral|confusion|neutral|neutral|desire|neutral|neutral|curiosity|neutral|neutral|curiosity|neutral|curiosity|neutral|surprise|neutral|approval|neutral|embarrassment|neutral|gratitude|realization|neutral|curiosity|neutral|neutral|approval|neutral|neutral|neutral|neutral|neutral|neutral|confusion|approval|approval|confusion|neutral|neutral|neutral|curiosity|neutral|anger|curiosity|neutral|neutral|neutral|neutral|curiosity|neutral|neutral|neutral|neutral|neutral|neutral|excitement|disgust|neutral|neutral|neutral|neutral|neutral|neutral|excitement|disapproval|disappointment|annoyance|neutral|approval|neutral|neutral|embarrassment,admiration -> neutral -> admiration -> neutral -> neutral -> neutral -> gratitude -> neutral -> curiosity -> approval -> neutral -> neutral -> neutral -> approval -> approval -> neutral -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> approval -> admiration -> neutral -> approval -> neutral -> approval -> neutral -> neutral -> anger -> admiration -> curiosity -> neutral -> neutral -> neutral -> neutral -> approval -> admiration -> neutral -> neutral -> neutral -> neutral -> confusion -> neutral -> confusion -> confusion -> curiosity -> approval -> approval -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> annoyance -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> admiration -> curiosity -> neutral -> admiration -> neutral -> approval -> approval -> gratitude -> neutral -> approval -> neutral -> neutral -> approval -> approval -> neutral -> confusion -> neutral -> neutral -> desire -> neutral -> neutral -> curiosity -> neutral -> neutral -> curiosity -> neutral -> curiosity -> neutral -> surprise -> neutral -> approval -> neutral -> embarrassment -> neutral -> gratitude -> realization -> neutral -> curiosity -> neutral -> neutral -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> confusion -> approval -> approval -> confusion -> neutral -> neutral -> neutral -> curiosity -> neutral -> anger -> curiosity -> neutral -> neutral -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> excitement -> disgust -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> excitement -> disapproval -> disappointment -> annoyance -> neutral -> approval -> neutral -> neutral -> embarrassment,"{'neutral': 96, 'approval': 20, 'curiosity': 12, 'admiration': 7, 'confusion': 6, 'gratitude': 3, 'anger': 2, 'annoyance': 2, 'embarrassment': 2, 'excitement': 2, 'surprise': 1, 'desire': 1, 'realization': 1, 'disgust': 1, 'disapproval': 1, 'disappointment': 1}"
17,Lifetime Achievement Award,0,0,party,,61,13,neutral|gratitude|admiration|neutral|neutral|disapproval|curiosity|desire|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|remorse|remorse|curiosity|neutral|curiosity|disapproval|neutral|neutral|disapproval|disappointment|neutral|approval|neutral|neutral|neutral|gratitude|admiration|approval|neutral|neutral|neutral|neutral|sadness|neutral|neutral|curiosity|surprise|curiosity|neutral|neutral|neutral|neutral|neutral|curiosity|curiosity|confusion|neutral|disapproval|neutral|confusion|love|love,neutral -> gratitude -> admiration -> neutral -> neutral -> disapproval -> curiosity -> desire -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> remorse -> remorse -> curiosity -> neutral -> curiosity -> disapproval -> neutral -> neutral -> disapproval -> disappointment -> neutral -> approval -> neutral -> neutral -> neutral -> gratitude -> admiration -> approval -> neutral -> neutral -> neutral -> neutral -> sadness -> neutral -> neutral -> curiosity -> surprise -> curiosity -> neutral -> neutral -> neutral -> neutral -> neutral -> curiosity -> curiosity -> confusion -> neutral -> disapproval -> neutral -> confusion -> love -> love,"{'neutral': 34, 'curiosity': 7, 'disapproval': 4, 'admiration': 2, 'gratitude': 2, 'remorse': 2, 'approval': 2, 'confusion': 2, 'love': 2, 'disappointment': 1, 'desire': 1, 'surprise': 1, 'sadness': 1}"
18,Christmas Carol,0,0,sci-fi/fantasy,,43,11,neutral|neutral|excitement|neutral|curiosity|neutral|neutral|neutral|curiosity|neutral|caring|curiosity|neutral|neutral|neutral|approval|neutral|neutral|neutral|neutral|neutral|neutral|anger|annoyance|neutral|neutral|neutral|neutral|amusement|neutral|neutral|neutral|confusion|anger|neutral|annoyance|admiration|neutral|admiration|annoyance|disappointment|neutral|annoyance,neutral -> neutral -> excitement -> neutral -> curiosity -> neutral -> neutral -> neutral -> curiosity -> neutral -> caring -> curiosity -> neutral -> neutral -> neutral -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> anger -> annoyance -> neutral -> neutral -> neutral -> neutral -> amusement -> neutral -> neutral -> neutral -> confusion -> anger -> neutral -> annoyance -> admiration -> neutral -> admiration -> annoyance -> disappointment -> neutral -> annoyance,"{'neutral': 26, 'annoyance': 4, 'curiosity': 3, 'admiration': 2, 'anger': 2, 'excitement': 1, 'approval': 1, 'caring': 1, 'amusement': 1, 'confusion': 1, 'disappointment': 1}"
19,Nachos,0,0,restaurant,dating,80,13,curiosity|confusion|neutral|love|neutral|neutral|neutral|neutral|neutral|neutral|confusion|neutral|neutral|curiosity|curiosity|neutral|neutral|neutral|neutral|approval|curiosity|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|confusion|neutral|neutral|approval|love|approval|desire|neutral|joy|joy|joy|curiosity|admiration|neutral|approval|neutral|curiosity|neutral|neutral|neutral|surprise|disgust|gratitude|approval|neutral|neutral|neutral|curiosity|anger|neutral|neutral|neutral|neutral|nervousness|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|curiosity|neutral|neutral|neutral|neutral,curiosity -> confusion -> neutral -> love -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> confusion -> neutral -> neutral -> curiosity -> curiosity -> neutral -> neutral -> neutral -> neutral -> approval -> curiosity -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> confusion -> neutral -> neutral -> approval -> love -> approval -> desire -> neutral -> joy -> joy -> joy -> curiosity -> admiration -> neutral -> approval -> neutral -> curiosity -> neutral -> neutral -> neutral -> surprise -> disgust -> gratitude -> approval -> neutral -> neutral -> neutral -> curiosity -> anger -> neutral -> neutral -> neutral -> neutral -> nervousness -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> neutral,"{'neutral': 52, 'curiosity': 8, 'approval': 5, 'confusion': 3, 'joy': 3, 'love': 2, 'desire': 1, 'admiration': 1, 'surprise': 1, 'disgust': 1, 'gratitude': 1, 'anger': 1, 'nervousness': 1}"
20,Honk If You’re Horny,0,0,driving,funeral,93,16,neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|remorse|remorse|remorse|sadness|caring|sadness|neutral|neutral|neutral|neutral|annoyance|annoyance|annoyance|annoyance|disgust|disapproval|disapproval|anger|neutral|neutral|curiosity|neutral|curiosity|curiosity|confusion|curiosity|curiosity|surprise|neutral|neutral|neutral|neutral|curiosity|curiosity|confusion|neutral|sadness|amusement|amusement|remorse|curiosity|neutral|neutral|anger|anger|anger|admiration|anger|neutral|neutral|annoyance|curiosity|anger|curiosity|anger|neutral|excitement|neutral|neutral|gratitude|remorse|remorse|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|love,neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> remorse -> remorse -> remorse -> sadness -> caring -> sadness -> neutral -> neutral -> neutral -> neutral -> annoyance -> annoyance -> annoyance -> annoyance -> disgust -> disapproval -> disapproval -> anger -> neutral -> neutral -> curiosity -> neutral -> curiosity -> curiosity -> confusion -> curiosity -> curiosity -> surprise -> neutral -> neutral -> neutral -> neutral -> curiosity -> curiosity -> confusion -> neutral -> sadness -> amusement -> amusement -> remorse -> curiosity -> neutral -> neutral -> anger -> anger -> anger -> admiration -> anger -> neutral -> neutral -> annoyance -> curiosity -> anger -> curiosity -> anger -> neutral -> excitement -> neutral -> neutral -> gratitude -> remorse -> remorse -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> love,"{'neutral': 49, 'curiosity': 10, 'anger': 7, 'remorse': 6, 'annoyance': 5, 'sadness': 3, 'confusion': 2, 'disapproval': 2, 'amusement': 2, 'caring': 1, 'disgust': 1, 'surprise': 1, 'admiration': 1, 'excitement': 1, 'gratitude': 1, 'love': 1}"
21,Brooks Brothers,0,0,driving,,62,12,caring|curiosity|curiosity|neutral|sadness|neutral|neutral|neutral|curiosity|neutral|neutral|neutral|neutral|neutral|neutral|disapproval|neutral|neutral|neutral|neutral|optimism|disapproval|neutral|neutral|neutral|neutral|curiosity|neutral|neutral|disapproval|admiration|neutral|surprise|neutral|annoyance|neutral|surprise|curiosity|neutral|neutral|confusion|approval|neutral|curiosity|admiration|neutral|neutral|neutral|neutral|neutral|neutral|neutral|admiration|neutral|curiosity|neutral|neutral|neutral|annoyance|anger|neutral|anger,caring -> curiosity -> curiosity -> neutral -> sadness -> neutral -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> disapproval -> neutral -> neutral -> neutral -> neutral -> optimism -> disapproval -> neutral -> neutral -> neutral -> neutral -> curiosity -> neutral -> neutral -> disapproval -> admiration -> neutral -> surprise -> neutral -> annoyance -> neutral -> surprise -> curiosity -> neutral -> neutral -> confusion -> approval -> neutral -> curiosity -> admiration -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> admiration -> neutral -> curiosity -> neutral -> neutral -> neutral -> annoyance -> anger -> neutral -> anger,"{'neutral': 38, 'curiosity': 7, 'admiration': 3, 'disapproval': 3, 'anger': 2, 'annoyance': 2, 'surprise': 2, 'caring': 1, 'sadness': 1, 'optimism': 1, 'confusion': 1, 'approval': 1}"
22,Choking,0,0,restaurant,,76,14,neutral|curiosity|curiosity|admiration|surprise|curiosity|neutral|confusion|neutral|neutral|neutral|surprise|approval|admiration|neutral|neutral|neutral|admiration|neutral|optimism|caring|admiration|neutral|caring|caring|curiosity|neutral|neutral|neutral|anger|anger|neutral|curiosity|surprise|neutral|curiosity|neutral|neutral|caring|disapproval|disapproval|curiosity|neutral|neutral|sadness|neutral|neutral|neutral|annoyance|neutral|neutral|approval|neutral|gratitude|neutral|neutral|neutral|joy|neutral|anger|neutral|sadness|neutral|neutral|approval|admiration|gratitude|neutral|neutral|annoyance|neutral|anger|anger|anger|anger|neutral,neutral -> curiosity -> curiosity -> admiration -> surprise -> curiosity -> neutral -> confusion -> neutral -> neutral -> neutral -> surprise -> approval -> admiration -> neutral -> neutral -> neutral -> admiration -> neutral -> optimism -> caring -> admiration -> neutral -> caring -> caring -> curiosity -> neutral -> neutral -> neutral -> anger -> anger -> neutral -> curiosity -> surprise -> neutral -> curiosity -> neutral -> neutral -> caring -> disapproval -> disapproval -> curiosity -> neutral -> neutral -> sadness -> neutral -> neutral -> neutral -> annoyance -> neutral -> neutral -> approval -> neutral -> gratitude -> neutral -> neutral -> neutral -> joy -> neutral -> anger -> neutral -> sadness -> neutral -> neutral -> approval -> admiration -> gratitude -> neutral -> neutral -> annoyance -> neutral -> anger -> anger -> anger -> anger -> neutral,"{'neutral': 36, 'curiosity': 7, 'anger': 7, 'admiration': 5, 'caring': 4, 'surprise': 3, 'approval': 3, 'gratitude': 2, 'disapproval': 2, 'sadness': 2, 'annoyance': 2, 'confusion': 1, 'optimism': 1, 'joy': 1}"
23,New Printer,0,0,office,,44,9,surprise|neutral|neutral|surprise|excitement|neutral|neutral|neutral|neutral|neutral|neutral|neutral|approval|neutral|admiration|approval|neutral|neutral|admiration|neutral|annoyance|neutral|curiosity|neutral|excitement|approval|neutral|neutral|neutral|neutral|admiration|neutral|curiosity|neutral|neutral|curiosity|amusement|curiosity|neutral|disapproval|excitement|neutral|neutral|admiration,surprise -> neutral -> neutral -> surprise -> excitement -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> approval -> neutral -> admiration -> approval -> neutral -> neutral -> admiration -> neutral -> annoyance -> neutral -> curiosity -> neutral -> excitement -> approval -> neutral -> neutral -> neutral -> neutral -> admiration -> neutral -> curiosity -> neutral -> neutral -> curiosity -> amusement -> curiosity -> neutral -> disapproval -> excitement -> neutral -> neutral -> admiration,"{'neutral': 25, 'curiosity': 4, 'admiration': 4, 'approval': 3, 'excitement': 3, 'surprise': 2, 'annoyance': 1, 'amusement': 1, 'disapproval': 1}"
24,The Day Robert Palin's Murdered Me,0,0,music,,69,12,neutral|neutral|remorse|disapproval|neutral|neutral|neutral|neutral|neutral|remorse|gratitude|curiosity|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|approval|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|sadness|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|excitement|anger|neutral|neutral|neutral|curiosity|neutral|curiosity|neutral|disapproval|approval|neutral|curiosity|neutral|realization|admiration|confusion|neutral|neutral|curiosity|confusion|neutral,neutral -> neutral -> remorse -> disapproval -> neutral -> neutral -> neutral -> neutral -> neutral -> remorse -> gratitude -> curiosity -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> sadness -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> excitement -> anger -> neutral -> neutral -> neutral -> curiosity -> neutral -> curiosity -> neutral -> disapproval -> approval -> neutral -> curiosity -> neutral -> realization -> admiration -> confusion -> neutral -> neutral -> curiosity -> confusion -> neutral,"{'neutral': 50, 'curiosity': 5, 'disapproval': 2, 'remorse': 2, 'confusion': 2, 'approval': 2, 'gratitude': 1, 'sadness': 1, 'excitement': 1, 'anger': 1, 'realization': 1, 'admiration': 1}"
25,The Babysitter,0,0,party,,96,17,neutral|excitement|neutral|neutral|neutral|love|neutral|neutral|admiration|neutral|neutral|remorse|anger|anger|anger|anger|approval|optimism|neutral|neutral|remorse|neutral|approval|neutral|neutral|surprise|neutral|confusion|neutral|neutral|approval|confusion|neutral|neutral|confusion|neutral|neutral|sadness|neutral|approval|caring|neutral|surprise|neutral|neutral|curiosity|approval|anger|neutral|approval|neutral|neutral|neutral|anger|neutral|curiosity|neutral|neutral|neutral|anger|neutral|embarrassment|neutral|embarrassment|approval|embarrassment|neutral|curiosity|neutral|neutral|neutral|neutral|realization|surprise|neutral|neutral|neutral|surprise|curiosity|neutral|neutral|curiosity|annoyance|embarrassment|neutral|neutral|neutral|surprise|neutral|admiration|neutral|embarrassment|neutral|neutral|joy|surprise,neutral -> excitement -> neutral -> neutral -> neutral -> love -> neutral -> neutral -> admiration -> neutral -> neutral -> remorse -> anger -> anger -> anger -> anger -> approval -> optimism -> neutral -> neutral -> remorse -> neutral -> approval -> neutral -> neutral -> surprise -> neutral -> confusion -> neutral -> neutral -> approval -> confusion -> neutral -> neutral -> confusion -> neutral -> neutral -> sadness -> neutral -> approval -> caring -> neutral -> surprise -> neutral -> neutral -> curiosity -> approval -> anger -> neutral -> approval -> neutral -> neutral -> neutral -> anger -> neutral -> curiosity -> neutral -> neutral -> neutral -> anger -> neutral -> embarrassment -> neutral -> embarrassment -> approval -> embarrassment -> neutral -> curiosity -> neutral -> neutral -> neutral -> neutral -> realization -> surprise -> neutral -> neutral -> neutral -> surprise -> curiosity -> neutral -> neutral -> curiosity -> annoyance -> embarrassment -> neutral -> neutral -> neutral -> surprise -> neutral -> admiration -> neutral -> embarrassment -> neutral -> neutral -> joy -> surprise,"{'neutral': 51, 'approval': 7, 'anger': 7, 'surprise': 6, 'curiosity': 5, 'embarrassment': 5, 'confusion': 3, 'admiration': 2, 'remorse': 2, 'optimism': 1, 'excitement': 1, 'love': 1, 'sadness': 1, 'caring': 1, 'realization': 1, 'annoyance': 1, 'joy': 1}"
26,Fenton's Stable and Horse Ranch,0,0,commercial,,32,11,admiration|neutral|neutral|neutral|neutral|annoyance|disappointment|curiosity|admiration|disapproval|neutral|neutral|neutral|neutral|neutral|curiosity|disapproval|neutral|excitement|sadness|sadness|neutral|neutral|neutral|confusion|neutral|curiosity|neutral|neutral|love|gratitude|neutral,admiration -> neutral -> neutral -> neutral -> neutral -> annoyance -> disappointment -> curiosity -> admiration -> disapproval -> neutral -> neutral -> neutral -> neutral -> neutral -> curiosity -> disapproval -> neutral -> excitement -> sadness -> sadness -> neutral -> neutral -> neutral -> confusion -> neutral -> curiosity -> neutral -> neutral -> love -> gratitude -> neutral,"{'neutral': 17, 'curiosity': 3, 'admiration': 2, 'sadness': 2, 'disapproval': 2, 'annoyance': 1, 'disappointment': 1, 'excitement': 1, 'confusion': 1, 'love': 1, 'gratitude': 1}"
27,Chunky,0,0,game show,,113,9,neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|approval|neutral|admiration|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|curiosity|neutral|approval|approval|anger|neutral|neutral|neutral|anger|neutral|neutral|neutral|anger|neutral|neutral|surprise|curiosity|neutral|approval|neutral|neutral|approval|neutral|neutral|approval|neutral|approval|neutral|neutral|neutral|anger|neutral|neutral|anger|neutral|neutral|curiosity|neutral|neutral|neutral|curiosity|neutral|neutral|neutral|neutral|neutral|gratitude|disapproval|neutral|anger|neutral|disapproval|neutral|disapproval|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|surprise|curiosity|curiosity|neutral|neutral|curiosity|neutral|neutral|neutral|neutral|anger|anger|neutral|curiosity|approval|neutral|approval|annoyance|neutral|neutral|neutral|disapproval|admiration|neutral,neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> approval -> neutral -> admiration -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> curiosity -> neutral -> approval -> approval -> anger -> neutral -> neutral -> neutral -> anger -> neutral -> neutral -> neutral -> anger -> neutral -> neutral -> surprise -> curiosity -> neutral -> approval -> neutral -> neutral -> approval -> neutral -> neutral -> approval -> neutral -> approval -> neutral -> neutral -> neutral -> anger -> neutral -> neutral -> anger -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> neutral -> neutral -> gratitude -> disapproval -> neutral -> anger -> neutral -> disapproval -> neutral -> disapproval -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> surprise -> curiosity -> curiosity -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> neutral -> anger -> anger -> neutral -> curiosity -> approval -> neutral -> approval -> annoyance -> neutral -> neutral -> neutral -> disapproval -> admiration -> neutral,"{'neutral': 78, 'approval': 9, 'curiosity': 8, 'anger': 8, 'disapproval': 4, 'admiration': 2, 'surprise': 2, 'gratitude': 1, 'annoyance': 1}"
