season,episode,id,name,start,end,category,description
2,6,55,Dave Suit,0:00,2:52,office,"Coworkers have a stern meeting about a bathroom incident involving huge, embarrassing dumps."
2,6,56,Driver's Ed,2:52,7:26,driving,An instructional video causes confusion.
2,6,57,Tammy Craps,7:26,9:30,,A doll has accidents.
2,6,58,Big Wave,9:30,12:26,office,An employee pretends to surf.
2,6,59,Claire's,12:26,16:31,kids,A girl is scared to get her ears pierced.
3,1,60,Barley Tonight,0:00,3:02,,"A talk show host loves to start fights, but also has no problem going on his phone."
3,1,61,Mortal Enemies,3:02,6:10,office,A team-building exercise creates bitterness between Rick and Stan.
3,1,62,Summer Loving,6:10,9:12,dating,Eligible men spend summer break with one beautiful woman to see if a summer fling will turn into summer love. There'a also a zip line by the pool.
3,1,63,Dad Video,9:12,11:12,kids,A father fails to give his nasty kids a lesson.
3,1,64,Designated Driver,11:12,16:41,driving,The Driving Crooner offers help to those who have had too much to drink.
3,2,65,Supermarket Swap,0:00,3:03,game show,A game show contestant's VR shopping spree results in problems.
3,2,66,Darmine Doggy Door,3:03,5:10,infomercial,Darmine Devices sells a more advanced pet door that also keeps out more.
3,2,67,Ponytail,5:10,8:10,driving,A man gets caught under a car that shouldn't have been parked over a sidewalk.
3,2,68,Eggman Game,8:10,10:36,office,A computer game gets an employee in trouble.
3,2,69,Sitcom Taping,10:36,16:59,,A man's limo-related dating trauma resurfaces during a live sitcom filming.
3,3,70,Silent Show,0:00,3:10,,Richard Brecky brings his mastery of silent theater to the stage.
3,3,71,First Date,3:10,6:45,dating,A man on a date has a dog haircut.
3,3,72,ABX Heart Monitor,6:45,9:30,,A cardiac event at Club Aqua leads a contractor to implant a heart tracker.
3,3,73,Drive Thru,9:30,11:52,driving,A fast-food customer finds out a way to order 55 of everything.
3,3,74,Robert's Christmas Birthday,11:52,17:04,office,Tensions are settled between colleagues.
3,4,75,Jenna's Bad Day,0:00,3:19,office,Coworkers' discussion of friend groups is interrupted.
3,4,76,Pacific Proposal Park,3:19,5:00,,An entrepreneurs matrimony-friendly grounds are overtaken by wrestlers.
3,4,77,Gelutol,5:00,8:47,,A hair-growth formula causes tension.
3,4,78,Summer Loving Farewell Package,8:47,9:30,dating,Ronnie says goodbye.
3,4,79,Children's Choir,9:30,16:09,family,Shirt brothers at a kids' concert are inspired by the lyrics of a song.
3,5,80,Bloody Eyeball,0:00,4:18,,Randall thinks he hears a volcano.
3,5,81,Photo Booth,4:18,6:53,,The bride's dad at a wedding photo area is distracted by business deals.
3,5,82,Talk About My Kids,6:53,14:32,party,"In trying to do a good deed, a guy becomes the most popular guy at the party."
3,6,83,Banana Breath,0:00,3:24,office,An employee at sensitivity training has a great idea for a T-shirt.
3,6,84,Metal Motto Search,3:24,6:45,game show,A game show rests on the capabilities of the Metaloid Maniac.
3,6,85,Don Bondarley,6:45,9:57,party,A party entertainer performs dirty songs.
3,6,86,Tasty Time Vids,9:57,16:45,social media,Draven obsesses over his Instagram videos.
